Month,Year,Sample_Date,Cruise_#,Station+_Code,Station,Depth_(m),Distance_offshore_(nm),Gear,Start_Time,MMED,GoodHaul,Trawling_distance_(km),Lat,Long,Sablefish_juv,CK_subyearling,CK_yearling,Coho_yearling,Study,TemperatureC_3m,AvgOf_Top10mTempC,AvgOf_Top20mTempC
July,2010,########,FR1001,FR100152T1,FR04,112,9.1,NRT,15:23,No MMED,-1,3.374167,38.5,-123.415,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100153T1,FR05,164,16.1,NRT,17:53,No MMED,-1,3.450941,38.5,-123.563,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100151T1,FR03,81,4.1,NRT,13:04,No MMED,-1,3.627443,38.5,-123.308,0,0,0,1,SWFSC,,,
July,2010,########,FR1001,FR100155T1,GF02,46,11.6,NRT,10:52,No MMED,-1,1.545486,37.8417,-122.8,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100154T1,GF01,28,6.6,NRT,8:32,No MMED,-1,2.730379,37.8417,-122.695,0,0,0,2,SWFSC,,,
July,2010,########,FR1001,FR100157T1,GF04,85,30.2,NRT,15:58,No MMED,-1,3.139291,37.8417,-123.193,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100156T1,GF03,80,22.2,NRT,13:24,No MMED,-1,3.417527,37.8417,-123.025,0,0,0,11,SWFSC,,,
July,2010,########,FR1001,FR100158T1,GF05,190,39.2,NRT,18:52,No MMED,-1,3.432134,37.8417,-123.383,1,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100159T1,PP01,32,1.2,NRT,8:33,No MMED,-1,1.52676,37.5,-122.527,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100162T1,PP04,110,19.2,NRT,15:22,No MMED,-1,3.351593,37.5,-122.905,45,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100163T1,PP05,400,24.2,NRT,17:51,No MMED,-1,3.37498,37.5,-123.01,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100160T1,PP02,56,5,NRT,10:40,No MMED,-1,3.451483,37.5,-122.607,0,0,0,0,SWFSC,,,
July,2010,########,FR1001,FR100161T1,PP03,80,12.2,NRT,12:48,No MMED,-1,3.676359,37.5,-122.758,10,0,0,0,SWFSC,,,
July,2010,7/2/2010,FR1001,FR100109T2,FM02,55,3.3,NRT,10:55,No MMED,-1,0.933297,43.2167,-124.473,0,0,0,2,SWFSC,,,
July,2010,7/2/2010,FR1001,FR100112T1,FM05,340,16.2,NRT,17:29,No MMED,-1,3.079644,43.2167,-124.77,0,0,0,0,SWFSC,,,
July,2010,7/2/2010,FR1001,FR100111T1,FM04,137,11.2,NRT,14:47,No MMED,-1,3.104522,43.2167,-124.655,0,6,0,2,SWFSC,,,
July,2010,7/2/2010,FR1001,FR100110T1,FM03,73,7.2,NRT,12:42,No MMED,-1,3.345089,43.2167,-124.563,0,0,0,1,SWFSC,,,
July,2010,7/2/2010,FR1001,FR100107T1,FM01,30,1.6,NRT,8:10,No MMED,-1,3.512106,43.2167,-124.433,0,0,0,2,SWFSC,,,
July,2010,7/3/2010,FR1001,FR100116T1,RR04,118,12.1,NRT,14:47,No MMED,-1,3.130592,42.5,-124.697,0,0,0,0,SWFSC,,,
July,2010,7/3/2010,FR1001,FR100117T1,RR05,600,17.1,NRT,17:32,No MMED,-1,3.138749,42.5,-124.81,0,0,0,0,SWFSC,,,
July,2010,7/3/2010,FR1001,FR100113T1,RR01,32,3,NRT,8:20,No MMED,-1,3.175659,42.5,-124.492,0,0,0,0,SWFSC,,,
July,2010,7/3/2010,FR1001,FR100115T1,RR03,82,7.8,NRT,12:00,No MMED,-1,3.333137,42.5,-124.6,0,0,0,0,SWFSC,,,
July,2010,7/3/2010,FR1001,FR100114T1,RR02,57,5.2,NRT,10:02,No MMED,-1,3.357853,42.5,-124.542,0,0,0,0,SWFSC,,,
July,2010,7/4/2010,FR1001,FR100119T1,SR02,55,6.6,NRT,10:46,No MMED,-1,3.021948,41.9,-124.354,0,0,0,0,SWFSC,,,
July,2010,7/4/2010,FR1001,FR100120T1,SR03,91,10.6,NRT,13:39,No MMED,-1,3.060728,41.9,-124.445,0,0,0,0,SWFSC,,,
July,2010,7/4/2010,FR1001,FR100118T1,SR01,30,2.9,NRT,8:46,No MMED,-1,3.326661,41.9,-124.272,0,0,0,0,SWFSC,,,
July,2010,7/5/2010,FR1001,FR100122T1,KR02,51,7,NRT,10:48,No MMED,-1,3.113248,41.5833,-124.253,0,0,0,21,SWFSC,,,
July,2010,7/5/2010,FR1001,FR100121T1,KR01,30,2.7,NRT,7:55,No MMED,-1,3.496849,41.5833,-124.158,0,1,0,79,SWFSC,,,
July,2010,7/6/2010,FR1001,FR100126T1,TD03,87,5.7,NRT,12:33,No MMED,-1,3.223382,41.0583,-124.278,0,0,0,80,SWFSC,,,
July,2010,7/6/2010,FR1001,FR100125T1,TD02,52,3.7,NRT,10:12,No MMED,-1,3.298964,41.0583,-124.235,0,1,0,43,SWFSC,,,
July,2010,7/6/2010,FR1001,FR100127T1,TD04,260,10.7,NRT,15:02,No MMED,-1,3.330238,41.0583,-124.388,0,5,0,33,SWFSC,,,
July,2010,7/6/2010,FR1001,FR100124T1,TD01,32,1.7,NRT,8:17,No MMED,-1,3.408259,41.0583,-124.19,0,0,0,0,SWFSC,,,
July,2010,7/6/2010,FR1001,FR100128T1,TD05,650,15.7,NRT,18:22,No MMED,-1,3.474925,41.0583,-124.498,0,0,0,0,SWFSC,,,
July,2010,7/7/2010,FR1001,FR100132T1,ER04,700,13.8,NRT,15:00,No MMED,-1,3.340265,40.6333,-124.623,0,0,0,0,SWFSC,,,
July,2010,7/7/2010,FR1001,FR100133T1,ER05,1000,18.8,NRT,17:25,No MMED,-1,3.36414,40.6333,-124.733,2,0,0,0,SWFSC,,,
July,2010,7/7/2010,FR1001,FR100131T1,ER03,700,8.8,NRT,12:22,No MMED,-1,3.393652,40.6333,-124.513,1,0,0,0,SWFSC,,,
July,2010,7/7/2010,FR1001,FR100130T1,ER02,55,5.8,NRT,10:13,No MMED,-1,3.569395,40.6333,-124.447,0,0,0,0,SWFSC,,,
July,2010,7/7/2010,FR1001,FR100129T1,ER01,30,3.4,NRT,8:27,No MMED,-1,3.686603,40.6333,-124.393,0,1,0,0,SWFSC,,,
July,2010,7/8/2010,FR1001,FR100137T1,PD04,540,10.1,NRT,15:03,No MMED,-1,2.350085,40.0333,-124.3,0,0,0,0,SWFSC,,,
July,2010,7/8/2010,FR1001,FR100138T1,PD05,810,15,NRT,17:10,No MMED,-1,3.355332,40.0333,-124.407,2,0,0,0,SWFSC,,,
July,2010,7/8/2010,FR1001,FR100136T1,PD03,540,5.2,NRT,12:11,No MMED,-1,3.355793,40.0333,-124.193,1,0,0,0,SWFSC,,,
July,2010,7/8/2010,FR1001,FR100135T1,PD02,54,2.2,NRT,9:57,No MMED,-1,3.43067,40.0333,-124.128,0,0,0,0,SWFSC,,,
July,2010,7/8/2010,FR1001,FR100134T1,PD01,31,1.3,NRT,8:10,No MMED,-1,3.433435,40.0333,-124.108,0,0,0,2,SWFSC,,,
July,2010,7/9/2010,FR1001,FR100143T1,AR05,720,15,NRT,17:16,No MMED,-1,3.205957,39.25,-124.108,0,0,0,0,SWFSC,,,
July,2010,7/9/2010,FR1001,FR100142T1,AR04,420,10,NRT,14:50,No MMED,-1,3.206038,39.25,-124,0,0,0,0,SWFSC,,,
July,2010,7/9/2010,FR1001,FR100139T1,AR01,59,0.8,NRT,8:35,No MMED,-1,3.292487,39.25,-123.803,0,0,0,0,SWFSC,,,
July,2010,7/9/2010,FR1001,FR100141T1,AR03,130,5,NRT,12:26,No MMED,-1,3.40311,39.25,-123.893,0,0,0,0,SWFSC,,,
July,2010,7/9/2010,FR1001,FR100140T1,AR02,92,2,NRT,10:27,No MMED,-1,3.431971,39.25,-123.829,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110101T1,NH05,59,5,NRT,18:35,No MMED,-1,3.000242,44.67,-124.17,0,0,0,1,SWFSC,,,
July,2011,########,FR1101,FR110106T1,HH05,133,15.9,NRT,16:28,No MMED,-1,3.286858,44,-124.507,0,1,0,0,SWFSC,,,
July,2011,########,FR1101,FR110103T1,HH02,55,3.2,NRT,10:01,No MMED,-1,3.40768,44,-124.212,0,1,0,0,SWFSC,,,
July,2011,########,FR1101,FR110102T1,HH01,30,1.4,NRT,7:39,No MMED,-1,3.569888,44,-124.171,0,1,0,2,SWFSC,,,
July,2011,########,FR1101,FR110105T1,HH04,117,10.9,NRT,14:06,No MMED,-1,3.620156,44,-124.39,0,1,0,0,SWFSC,,,
July,2011,########,FR1101,FR110104T1,HH03,80,5.9,NRT,11:57,No MMED,-1,3.852162,44,-124.275,0,0,0,0,SWFSC,,,
July,2011,7/1/2011,FR1101,FR110110T1,FM04,137,11.2,NRT,14:11,No MMED,-1,3.601971,43.2167,-124.655,0,0,0,0,SWFSC,,,
July,2011,7/1/2011,FR1101,FR110108T1,FM02,55,3.3,NRT,9:54,No MMED,-1,3.65958,43.2167,-124.473,0,0,0,0,SWFSC,,,
July,2011,7/1/2011,FR1101,FR110111T1,FM05,340,16.2,NRT,16:41,No MMED,-1,3.661598,43.2167,-124.77,0,0,0,0,SWFSC,,,
July,2011,7/1/2011,FR1101,FR110107T1,FM01,30,1.6,NRT,8:06,No MMED,-1,3.675271,43.2167,-124.433,0,0,0,0,SWFSC,,,
July,2011,7/1/2011,FR1101,FR110109T1,FM03,73,7.2,NRT,11:50,No MMED,-1,3.828233,43.2167,-124.563,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110151T1,GP02,55,2,NRT,11:11,No MMED,-1,2.412718,38.75,-123.568,0,0,0,3,SWFSC,,,
July,2011,########,FR1101,FR110152T1,GP03,87,4.5,NRT,13:28,No MMED,-1,3.404962,38.75,-123.622,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110153T1,GP04,126,9.5,NRT,15:53,No MMED,-1,3.54977,38.75,-123.728,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110150T1,GP01,35,0.9,NRT,8:42,No MMED,-1,3.557279,38.75,-123.545,0,0,0,10,SWFSC,,,
July,2011,########,FR1101,FR110154T1,GP05,300,14.5,NRT,18:30,No MMED,-1,3.560726,38.75,-123.835,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110155T1,FR01,39,1.2,NRT,8:40,No MMED,-1,3.494682,38.5,-123.247,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110157T1,FR03,81,4.1,NRT,12:54,No MMED,-1,3.596479,38.5,-123.308,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110159T1,FR05,164,16.1,NRT,18:40,No MMED,-1,3.686563,38.5,-123.563,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110158T1,FR04,112,9.1,NRT,15:23,No MMED,-1,3.724334,38.5,-123.415,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110156T1,FR02,55,1.8,NRT,10:50,No MMED,-1,3.770035,38.5,-123.26,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110163T1,TB04,108,12.5,NRT,16:39,No MMED,-1,3.586216,38.1333,-123.22,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110162T1,TB03,76,7.5,NRT,13:55,No MMED,-1,3.60029,38.1333,-123.113,0,0,0,6,SWFSC,,,
July,2011,########,FR1101,FR110164T1,TB05,141,17.5,NRT,19:09,No MMED,-1,3.748109,38.1333,-123.327,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110166T1,GF02,46,11.6,NRT,11:25,No MMED,-1,1.108169,37.8417,-122.8,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110167T1,GF03,80,22.2,NRT,14:06,No MMED,-1,3.454376,37.8417,-123.025,0,0,0,15,SWFSC,,,
July,2011,########,FR1101,FR110168T1,GF04,85,30.2,NRT,16:51,No MMED,-1,3.628368,37.8417,-123.193,0,2,0,10,SWFSC,,,
July,2011,########,FR1101,FR110165T1,GF01,28,6.6,NRT,8:59,No MMED,-1,3.671214,37.8417,-122.695,0,0,0,28,SWFSC,,,
July,2011,########,FR1101,FR110169T1,GF05,190,39.2,NRT,20:02,No MMED,-1,3.689002,37.8417,-123.383,0,0,0,0,SWFSC,,,
July,2011,########,FR1101,FR110173T1,PP04,110,19.2,NRT,13:09,No MMED,-1,3.411974,37.5,-122.905,0,0,0,478,SWFSC,,,
July,2011,########,FR1101,FR110174T1,PP05,400,24.2,NRT,17:37,No MMED,-1,3.547088,37.5,-123.01,2,0,0,23,SWFSC,,,
July,2011,########,FR1101,FR110177T1,PI03,83,6.6,NRT,12:05,No MMED,-1,3.547588,37.1667,-122.5,0,0,0,85,SWFSC,,,
July,2011,########,FR1101,FR110178T1,PI04,107,13.2,NRT,14:40,No MMED,-1,3.550779,37.1667,-122.638,1,0,0,93,SWFSC,,,
July,2011,########,FR1101,FR110179T1,PI05,200,18.2,NRT,17:17,No MMED,-1,3.597677,37.1667,-122.743,0,0,0,0,SWFSC,,,
July,2011,7/2/2011,FR1101,FR110114T1,RR03,82,7.8,NRT,12:33,No MMED,-1,3.608107,42.5,-124.6,0,0,0,0,SWFSC,,,
July,2011,7/2/2011,FR1101,FR110115T1,RR04,118,12.1,NRT,15:01,No MMED,-1,3.671545,42.5,-124.697,0,0,0,0,SWFSC,,,
July,2011,7/2/2011,FR1101,FR110116T1,RR05,600,17.1,NRT,17:27,No MMED,-1,3.72921,42.5,-124.81,0,0,0,0,SWFSC,,,
July,2011,7/2/2011,FR1101,FR110113T1,RR02,57,5.2,NRT,10:17,No MMED,-1,3.766813,42.5,-124.542,0,0,0,0,SWFSC,,,
July,2011,7/2/2011,FR1101,FR110112T1,RR01,32,3,NRT,8:12,No MMED,-1,3.82431,42.5,-124.492,0,0,0,0,SWFSC,,,
July,2011,7/3/2011,FR1101,FR110120T1,SR04,400,15.6,NRT,15:00,No MMED,-1,3.444611,41.9,-124.557,0,0,0,0,SWFSC,,,
July,2011,7/3/2011,FR1101,FR110119T1,SR03,91,10.6,NRT,12:22,No MMED,-1,3.563359,41.9,-124.445,0,0,0,0,SWFSC,,,
July,2011,7/3/2011,FR1101,FR110121T1,SR05,680,20.6,NRT,17:34,No MMED,-1,3.615112,41.9,-124.668,1,0,0,0,SWFSC,,,
July,2011,7/3/2011,FR1101,FR110117T1,SR01,30,2.9,NRT,8:08,No MMED,-1,3.72128,41.9,-124.272,0,1,0,0,SWFSC,,,
July,2011,7/3/2011,FR1101,FR110118T1,SR02,55,6.6,NRT,10:13,No MMED,-1,3.784942,41.9,-124.354,0,0,0,4,SWFSC,,,
July,2011,7/4/2011,FR1101,FR110123T1,KR02,51,7,NRT,10:21,No MMED,-1,3.306164,41.5833,-124.253,0,0,0,0,SWFSC,,,
July,2011,7/4/2011,FR1101,FR110124T1,KR03,82,11,NRT,12:45,No MMED,-1,3.38703,41.5833,-124.343,0,1,0,2,SWFSC,,,
July,2011,7/4/2011,FR1101,FR110122T1,KR01,30,2.7,NRT,8:09,No MMED,-1,3.517182,41.5833,-124.158,0,0,0,1,SWFSC,,,
July,2011,7/4/2011,FR1101,FR110125T1,KR04,137,15.4,NRT,15:43,No MMED,-1,3.584711,41.5833,-124.442,0,0,0,0,SWFSC,,,
July,2011,7/5/2011,FR1101,FR110129T1,MP04,110,12.9,NRT,16:44,No MMED,-1,1.800005,41.35,-124.365,0,0,0,0,SWFSC,,,
July,2011,7/5/2011,FR1101,FR110127T1,MP02,55,5.5,NRT,10:17,No MMED,-1,3.61189,41.35,-124.2,0,25,0,5,SWFSC,,,
July,2011,7/5/2011,FR1101,FR110126T1,MP01,30,2.9,NRT,8:11,No MMED,-1,3.619175,41.35,-124.142,0,0,0,4,SWFSC,,,
July,2011,7/5/2011,FR1101,FR110128T1,MP03,83,8.9,NRT,12:45,No MMED,-1,3.762694,41.35,-124.277,0,26,0,4,SWFSC,,,
July,2011,7/6/2011,FR1101,FR110134T1,TD02,52,3.7,NRT,15:21,No MMED,-1,2.237257,41.0583,-124.235,0,3,0,5,SWFSC,,,
July,2011,7/6/2011,FR1101,FR110135T1,TD01,32,1.7,NRT,17:06,No MMED,-1,3.583226,41.0583,-124.19,0,1,0,0,SWFSC,,,
July,2011,7/6/2011,FR1101,FR110133T1,TD03,87,5.7,NRT,12:22,No MMED,-1,3.721728,41.0583,-124.278,0,6,0,20,SWFSC,,,
July,2011,7/6/2011,FR1101,FR110132T1,TD04,260,10.7,NRT,10:06,No MMED,-1,3.741539,41.0583,-124.388,0,0,0,0,SWFSC,,,
July,2011,7/7/2011,FR1101,FR110139T1,ER04,700,13.8,NRT,16:50,No MMED,-1,2.315068,40.6333,-124.623,0,0,0,0,SWFSC,,,
July,2011,7/7/2011,FR1101,FR110138T1,ER03,700,8.8,NRT,13:08,No MMED,-1,2.365112,40.6333,-124.513,0,0,0,2,SWFSC,,,
July,2011,7/7/2011,FR1101,FR110137T1,ER02,55,5.8,NRT,10:25,No MMED,-1,2.463098,40.6333,-124.447,0,3,0,2,SWFSC,,,
July,2011,7/7/2011,FR1101,FR110140T1,ER05,1000,18.8,NRT,19:17,No MMED,-1,3.434832,40.6333,-124.733,0,0,0,0,SWFSC,,,
July,2011,7/7/2011,FR1101,FR110136T1,ER01,30,3.4,NRT,8:26,No MMED,-1,3.540747,40.6333,-124.393,0,1,0,0,SWFSC,,,
July,2011,7/8/2011,FR1101,FR110143T1,PD03,540,5.2,NRT,13:30,No MMED,-1,3.414069,40.0333,-124.193,0,0,0,0,SWFSC,,,
July,2011,7/8/2011,FR1101,FR110142T1,PD02,54,2.2,NRT,11:11,No MMED,-1,3.65888,40.0333,-124.128,0,13,0,3,SWFSC,,,
July,2011,7/8/2011,FR1101,FR110141T1,PD01,31,1.3,NRT,8:55,No MMED,-1,3.778385,40.0333,-124.108,0,3,0,11,SWFSC,,,
July,2011,7/9/2011,FR1101,FR110147T1,AR03,130,5,NRT,13:05,No MMED,-1,3.586392,39.25,-123.893,0,0,0,0,SWFSC,,,
July,2011,7/9/2011,FR1101,FR110145T1,AR01,59,0.8,NRT,8:36,No MMED,-1,3.598945,39.25,-123.803,0,0,0,0,SWFSC,,,
July,2011,7/9/2011,FR1101,FR110146T1,AR02,92,2,NRT,10:36,No MMED,-1,3.698472,39.25,-123.829,0,0,0,0,SWFSC,,,
July,2011,7/9/2011,FR1101,FR110148T1,AR04,420,10,NRT,15:41,No MMED,-1,3.706233,39.25,-124,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130109T1,FM04,137,11.2,NRT,15:06,MMED Yes; Up,-1,2.693773,43.2167,-124.655,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130106T1,FM01,30,1.6,NRT,7:30,MMED Yes; Up,-1,2.794455,43.2167,-124.433,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130107T1,FM02,55,3.3,NRT,9:56,MMED Yes; Up,-1,2.799014,43.2167,-124.473,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130108T1,FM03,73,7.2,NRT,12:34,MMED Yes; Up,-1,3.045452,43.2167,-124.563,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130111T1,SR02,55,6.6,NRT,9:39,MMED Yes; Up,-1,2.85962,41.9,-124.354,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130113T1,SR04,400,15.6,NRT,15:07,MMED Yes; Up,-1,2.891234,41.9,-124.557,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130112T1,SR03,91,10.6,NRT,12:11,MMED Yes; Up,-1,2.903464,41.9,-124.445,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130110T1,SR01,30,2.9,NRT,7:20,MMED Yes; Up,-1,3.173734,41.9,-124.272,0,0,0,0,SWFSC,,,
July,2013,########,OS1301,OS130117T1,KR04,137,15.4,NRT,15:00,MMED Yes; Up,-1,2.636852,41.5833,-124.442,0,0,0,0,SWFSC,,,
